id,term,translation,pronunciation,tags,notes,mapped_from
w-mimi,Mimi,I,mi-mi,pronoun,Standalone subject pronoun,w-naanu
w-wewe,Wewe,you,we-we,pronoun,Standalone subject pronoun,w-neenu
w-sisi,Sisi,we,si-si,pronoun,Standalone subject pronoun,w-naavu
w-ndiyo,Ndiyo,yes,ndi-yo,greeting,Affirmative response,w-howdu
w-hapana,Hapana,no,ha-pa-na,greeting,Negative response,w-illa
w-kuja,Kuja,to come,ku-ja,verb,Infinitive form,w-baa
w-kwenda,Kwenda,to go,kwen-da,verb,Infinitive form,w-hogu
w-jina,Jina,name,ji-na,noun,Also used in introductions,w-hesaru
w-mwanafunzi,Mwanafunzi,student,mwa-na-fun-zi,noun,Commonly used with verb 'ku-soma',w-vidyaarthi
w-kula,Kula,to eat,ku-la,verb,"Infinitive; also noun 'food' is chakula, but kula maps the eating sense",w-oota
w-chakula,Chakula,food,cha-ku-la,noun,General term for food,
w-mbwa,Mbwa,dog,mbwa,animal,Common pet,w-naayi
w-paka,Paka,cat,pa-ka,animal,Standard word; maps both koli and bekku,w-koli
w-tembo,Tembo,elephant,tem-bo,animal,African elephant,w-aane
w-nyekundu,Nyekundu,red,nye-kun-du,color,Adjective prefix varies by noun class,w-kempu
w-nyeupe,Nyeupe,white,nye-u-pe,color,Adjective prefix varies by noun class,w-bili
w-nyeusi,Nyeusi,black,nye-u-si,color,Adjective prefix varies by noun class,w-kappu
w-kijani,Kijani,green,ki-ja-ni,color,Adjective prefix varies by noun class,w-hasiru
w-moja,Moja,one,mo-ja,number,Also used as 'a/an' with nouns,w-ondu
w-mbili,Mbili,two,mbi-li,number,,w-eradu
w-tatu,Tatu,three,ta-tu,number,,w-mooru
w-nne,Nne,four,n-ne,number,,w-naaku
w-tano,Tano,five,ta-no,number,,w-aidhu
w-furaha,Furaha,happiness/joy,fu-ra-ha,emotion,Also verb -furahi (be happy),w-santosha
w-huzuni,Huzuni,sadness,hu-zu-ni,emotion,Noun; adjective 'sad' is -sikitika,w-dukha
w-hasira,Hasira,anger,ha-si-ra,emotion,Noun; adjective 'angry' is -kasirika,w-kopam
w-woga,Woga,fear,wo-ga,emotion,Noun; adjective 'afraid' is -ogopa,w-bhayav
w-mti,Mti,tree,mti,nature,,w-mara
w-ua,Ua,flower,u-a,nature,,w-huvu
w-maji,Maji,water,ma-ji,nature,Plural-only noun,w-neeru
w-ardhi,Ardhi,earth/land,ar-dhi,nature,,w-bhoomi
w-safari,Safari,journey/travel,sa-fa-ri,travel,Also 'safari' in English,w-prayan
w-treni,Treni,train,tre-ni,travel,Loan word from English,w-rail
w-basi,Basi,bus,ba-si,travel,Loan word from English,w-bus
w-hotel,Hoteli,hotel,ho-te-li,travel,Loan word from English,w-hotel
